Pixel-X	Pixel-Y	Longitude	Latitude	sst	qual_sst
63.5	3.5	48.50798639660622	32.17414724631388	18.98	0
64.5	3.5	48.5496869466221	32.17414724631388	18.98	0
63.5	4.5	48.50798639660622	32.13247511816807	18.98	0
64.5	4.5	48.5496869466221	32.13247511816807	18.98	0
32.5	8.5	47.215269346113786	31.965786605584817	29.71	0
33.5	8.5	47.25696989612967	31.965786605584817	29.71	0
34.5	8.5	47.29867044614556	31.965786605584817	29.64	0
35.5	8.5	47.34037099616144	31.965786605584817	29.625	0
32.5	9.5	47.215269346113786	31.924114477439005	29.71	0
33.5	9.5	47.25696989612967	31.924114477439005	26.779999	0
34.5	9.5	47.29867044614556	31.924114477439005	26.904999	0
35.5	9.5	47.34037099616144	31.924114477439005	27.695	0
36.5	9.5	47.38207154617732	31.924114477439005	29.33	0
33.5	10.5	47.25696989612967	31.882442349293193	16.96	0
34.5	10.5	47.29867044614556	31.882442349293193	16.925	0
35.5	10.5	47.34037099616144	31.882442349293193	26.769999	0
36.5	10.5	47.38207154617732	31.882442349293193	29.33	0
66.5	12.5	48.633088046653874	31.799098093001568	21.779999	0
67.5	12.5	48.67478859666976	31.799098093001568	21.779999	0
68.5	12.5	48.71648914668564	31.799098093001568	21.779999	0
66.5	13.5	48.633088046653874	31.757425964855756	21.779999	0
67.5	13.5	48.67478859666976	31.757425964855756	21.779999	0
68.5	13.5	48.71648914668564	31.757425964855756	21.779999	0
41.5	15.5	47.59057429625675	31.67408170856413	20.814999	0
42.5	15.5	47.63227484627264	31.67408170856413	20.82	0
41.5	16.5	47.59057429625675	31.632409580418322	21.335	0
42.5	16.5	47.63227484627264	31.632409580418322	21.199999	0
43.5	16.5	47.67397539628852	31.632409580418322	21.449999	0
45.5	16.5	47.75737649632029	31.632409580418322	19.39	0
46.5	16.5	47.79907704633617	31.632409580418322	19.39	0
47.5	16.5	47.840777596352055	31.632409580418322	19.39	0
41.5	17.5	47.59057429625675	31.59073745227251	21.164999	0
42.5	17.5	47.63227484627264	31.59073745227251	21.02	0
43.5	17.5	47.67397539628852	31.59073745227251	20.82	0
45.5	17.5	47.75737649632029	31.59073745227251	19.39	0
46.5	17.5	47.79907704633617	31.59073745227251	19.39	0
47.5	17.5	47.840777596352055	31.59073745227251	19.39	0
42.5	18.5	47.63227484627264	31.549065324126698	18.77	0
